,Ques,Ans
168,When did the tradition of people carrying the Olympic torch before the Olympic games begin?,1936 Summer Olympics.
169,How many days did people carry the Olympic torch before the 2008 Summer Olympics?,129 days
170,What was the theme for the torch relay?,"one world, one dream"
171,What did the organizers of the torch relay call it?,Journey of Harmony
172,What was the 2008 Olympic slogan?,"one world, one dream"
173,Where were the details of the torch relay made known?,"Beijing, China."
174,What was the torch relay referred to as by organizers?,"""Journey of Harmony"""
175,How many miles was the Olympic torch relayed?,"85,000 mi"
176,"Despite its imperfection, what are now considered valuable achievements of Principia Mathematica?","the book popularized modern mathematical logic and drew important connections between logic, epistemology, and metaphysics"
177,What is the general consensus of the axioms and inference rules declared in Principia Mathematica? ,mixed
178,Who discovered the incompleteness theorem of 1931?,Kurt Gödel
179,What did the incompleteness theorem of 1931 indicate regarding Principia Mathematica?,"for any set of axioms and inference rules proposed to encapsulate mathematics, there would in fact be some truths of mathematics which could not be deduced"
180,Why was Gödels finding ironic?,Gödel could not have come to this conclusion without Whitehead and Russell's book
181,When was Kurt Godel's incompleteness theorem?,1931
182,What did Kurt Godel's theorem demonstrate about axioms and the inference rules?,some truths of mathematics which could not be deduced from them
183,Godel couldn't have come to his conclusion without what book?,Principia Mathematica
184,"Besides logic and epistemology, what else did Principia Mathematica connect?",metaphysics
185,What did many asset managers decide to do to the detriment of their clients?,continue to invest client funds in over-priced (under-yielding) investments
186,What led to bad investments by asset managers in over-priced credit assets?,a conflict of interest
187,Who is compensated based on the volume of client assets they have under management?,Professional investment managers
188,What is the incentive for asset managers to expand their assets under management?,to maximize their compensation
189,What rationale did asset managers who continued to invest in over-priced investments to the detriment of their clients use?,plausible deniability
190,How many Miles East of Puerto Rico is St. Barts?,160
191,What lies between St. Barts and Saint Martin island?,the Saint-Barthélemy Channel
192,"What does ""Roques"" mean in English?",little Turtle rocks
193,St. Barts is one of the what group of islands?,the Renaissance
194,What is Île Frégate in relation to St Barts?,satellite islets
195,In what fields of science is the genome studied?,molecular biology and genetics
196,What is the content of the human genome?,DNA
197,What constitutes the viral genome?,RNA
198,What kind of school does not base its admissions on academic merit?,comprehensive school
199,What kind of school system uses academic success to judge admissions?,selective school system
200,What countries used comprehensive schools extensively?,England and Wales
201,How many secondary school students attend comprehensive schools in England?,90%
202,What is the German analogue of the comprehensive school?,Gesamtschule
203,What is the French term for the Republic of the Congo?,République du Congo
204,Which country lies on Congo's northeast border?,Central African Republic
205,Whic country lies on Congo's western border?,Gabon
206,Which country lies on Congo's northwest border?,Cameroon
207,In what part of Africa is the Congo located?,Central Africa
208,What branch of government does the prime minister lead?,executive
209,What group is the prime minister usually in charge of?,cabinet
210,"In some political models like semi-presidential systems, what does the prime minister manage?",civil service
211,What's a common abbreviation for the term institute of technology?,IT
212,Where does the information stored on the Wayback Machine come from?,World Wide Web
213,Which company made the Wayback Machine?,Internet Archive
214,Where is Internet Archive headquartered?,San Francisco
215,What individuals founded Internet Archive?,Brewster Kahle and Bruce Gilliat
216,What is the term used by Internet Archive to describe the Wayback Machine?,three dimensional index
217,What are some other names the Dutch Republic is known by?,"the United Provinces (Verenigde Provinciën), Federated Dutch Provinces (Foederatae Belgii Provinciae), and Dutch Federation (Belgica Foederata)"
218,The Dutch Republic was a republic of Europe during what time?,"from 1581, when part of the Netherlands separated from Spanish rule, until 1795"
219,What republics did the Dutch Republic come before?,"Batavian Republic, the Kingdom of Holland, the United Kingdom of the Netherlands, and ultimately the modern Kingdom of the Netherlands"
220,"What language does the word ""symbiosis"" come from?",Greek
221,"What type of organism did Frank apply the term ""symbiosis"" to?",lichens
222,What nationality was Heinrich Anton de Bary?,German
223,What is the French name of the Canadian Armed Forces?,Forces armées canadiennes
224,What law constitutes the CAF?,the National Defence Act
225,Who are the CAF supposed to protect?,Her Majesty
226,What does CF stand for in this context?,Forces canadiennes
227,"In 1059, who was responsible for electing the pope? ",the principal clergy of Rome and the bishops of the seven suburbicarian sees.
228,What were the cardinals assigned? ,a church in Rome as his titular church or linked with one of the suburbicarian dioceses
229,What is another term meaning Iranian languages?,Iranic languages
230,What are the Iranic languages a subgroup of?,Indo-Iranian languages
231,What are Indo-Iranian languages a subset of?,Indo-European language family
232,When did the change from Old Iranian to Middle Iranian occur?,400 BCE
233,What is an example of a Sassanid language?,Middle Persian
234,What is used a main source of light for a building during the day?,Daylighting
235,What kind of effects can natural illumination have on a persons psychological?,positive
236,Using natural illumination instead of artificial light sources help with what?,energy consumption
237,Lamps and light fixtures are a form of what?,artificial light sources
238,The use of light to achieve an aesthetic effect is know as?,Lighting or illumination
239,What can be used a main source of light for a building during the day?,Daylighting
240,Lamps and light fixtures  are a form of what?,Lighting
241,What kind of effects can proper lighting have on a persons psychologically?,positive
242,What does using natural illumination instead of artificial lighting help with?,energy consumption
243,What is the used to achieve a practical effect?,Lighting or illumination
244,Which political practice did Montesquieu originate?,Separation of powers
245,How many divisions of the government did Montesquieu call for?,three
246,What document was greatly informed by the idea of separation of powers?,United States Constitution
247,What kind of oversight does the separation of powers help to promote?,checks and balances
248,What was the doctrine called that allowed the three branches of government to check the powers of each other?,separation of powers
249,What is the latin word for architecture?,Architectural
250,What is the Latin word for architecture?,architectura
251,What do you call the planning and building of buildings?,Architecture
252,What structures can be viewed as both works of art and symbols of certain cultures?,Architectural works
253,Civilizations from the past cane often be identified by what surviving structures?,architectural achievements
254,"In what language does the word ""architecture"" have its origins?",Greek
255,"What two words is ""architecture"" a combination of?","ἀρχι- ""chief"" and τέκτων ""builder"""
256,Architecture involves the creation of what?,buildings and other physical structures
257,"Aside from symbolizing cultures, what else are architectural works thought of as?",as works of art
258,What can extant architectural works be used to identify?,Historical civilizations
259,Which three statistics does the HDI compile?,"life expectancy, education, and income per capita"
260,Does a high ranking on the HDI indicate shorter or longer life expectancy?,longer
261,Who developed the HDI?,Mahbub ul Haq
262,What entity publishes the HDI?,United Nations Development Programme
263,Does a high ranking on the HDI indicate shorter or longer life expectancy at birth?,longer
264,What is another term for southern Europe,Mediterranean Europe
265,What is the name for the stretch of land on which Spain and Portugal are located?,Iberian peninsula
266,What nations are sometimes included in the scope of southern Europe?,Balkan countries
267,What area of France is considered a part of Mediterranean Europe?,southern France
268,What is the acronym for British Broadcasting Corporation?,BBC
269,Under what auspices does the BBC exist?,Royal charter
270,When did the BBC start creating its own programming?,1932
271,On what date did the BBC being its regular TV broadcasts?,2 November 1936
272,In what country is the BBC headquartered?,United Kingdom
273,What's Arnold Schwarzenegger's birth date?,"July 30, 1947"
274,What's Arnold Schwarzenegger's middle name?,Alois
275,How many terms did Schwarzenegger serve as California's governor?,two
276,"In kilometers, what is the distance from Plymouth to Exeter?",60
277,How many miles away from London is Plymouth?,190
278,What river borders Plymouth on the west?,Tamar
279,In what county is Plymouth located?,Devon
280,In what body of water do the rivers Tamar and Plym converge?,Plymouth Sound
281,What is heresy mainly at odds with?,established beliefs or customs
282,What is a person called is practicing heresy?,A heretic
283,In which year was the Warsaw Pact established?,1955
284,Which nation formed the nucleus of the Warsaw Pact?,Soviet Union
285,Which conflict was the impetus for the formation of the Pact?,the Cold War
286,How many Soviet allied countries were members of the Warsaw Pact?,seven
287,The acceptance of which country into NATO prompted the formation of the Warsaw Pact?,West Germany
288,What is materialism?,a form of philosophical monism
289,"In nature, this is an essential substance?",matter
290,Whose technology enabled the Space Race between the Soviet Union and the united States?,German rocket technology
291,Who was able to launch the first orbiting satellite?,the Soviet Union
292,Who was the first human in space?,Yuri Gagarin
293,When did Apollo 11 land on the moon?,"July 20, 1969"
294,On what date did the Space Race begin?,"August 2, 1955"
295,Sputnik 1 started orbiting on what date?,"October 4, 1957"
296,Who was the first person in space?,Yuri Gagarin
297,What was the date that the first human reached space?,"April 12, 1961"
298,What is a pub licensed to sell?,it is licensed to sell alcohol
299,In many villages what establishment could be called the focal point of the community?,the pub
300,What is the term 'pub' short for?,public house
301,Where in the United States are pubs located?,New England
302,What continental European country has pubs?,Denmark
303,"Other than the United States, where in North America are pubs located?",Canada
304,Who said that pubs are the heart of England?,Samuel Pepys
305,What is a person who follows Christianity called?,Christian
306,Whose life do Christians learn from?,Jesus Christ
307,What Greek word is Christian derived from?,Christós
308,Christós is translated from what Biblical term?,mashiach
309,"What was the first name of Sony Music Entertainment, Inc?",American Record Corporation
310,In what year was it renamed Columbia Recording Corporation?,1938
311,In what year was it known as CBS Records?,1966
312,"In what year did it land the name, Sony Music Entertainment?",1987
313,What company is the only group larger than Sony Music Entertainment?,Universal Music Group.
314,What is the capital of Oklahoma?,Oklahoma City
315,Which city is the largest in Oklahoma?,Oklahoma City
316,What was the population of Oklahoma city in 2014?,"1,322,429"
317,What kind of human lives by collecting wild flora and fauna?,hunter-gatherer
318,What type of society relies on domestication for producing food?,agricultural
319,What type of plants and animals do agricultural groups harvest?,domesticated species
320,What is the current name of the United Nations Fund for Population Activities?,United Nations Population Fund
321,UNFPA's work concerns what general area?,reproductive health
322,One of UNFPA's goals is to make all pregnancies what?,wanted
323,Another of UNFPA's goals is to make all childbirths what?,safe
324,"What, in addition to its work against obstetric fistula, is UNFPA campaigning against?",female genital mutilation
325,Which ocean is along eastern Russia?,the Pacific Ocean
326,Which union did Russia belong to after 1922?,the Soviet Union
327,When did the RSFSR cease to be a part of the Soviet Union?,91
328,How many autonomous republics make up the RSFSR?,sixteen
329,The RSFSR contains how many oblasts?,forty
330,How many autonomous oblasts were part of the RSFSR?,five
331,How many krais were present in the RSFSR?,six
332,Which company is directly above Universal Studios?,NBCUniversal
333,Which company runs NBC Universal?,Comcast
334,What is the nickname given to the large studios of which Universal is a part?,Big Six
335,When was Universal Studios created?,1912
336,Where does Universal's filming take place?,"Universal City, California"
337,What is another name for Universal Studios Inc.?,Universal Pictures
338,Who is the ultimate owner of Universal Studios?,Comcast
339,What is the street address of Universal Studios' production studios?,100 Universal City Plaza Drive
340,In what city and state are its production studios located?,"Universal City, California"
341,In what city are Universal Studios' corporate offices located?,New York City
342,What is Bell most famous for inventing?,telephone
343,What year did Bell die?,1922
344,What was special about his telephone?,practical
345,What is Bell's full name?,Alexander Graham Bell
346,What is Bell famous for inventing?,telephone
347,What does ISP stand for?,Internet service provider
348,what does an isp do?,"provides services for accessing, using, the Internet"
349,What forms can an isp be organized in?,"commercial, community-owned, non-profit, or otherwise privately owned"
350,Which form of comics entails the use of photographic images?,fumetti
351,"In addition to onomatopoeia and captions, what can be used to show the dialogue in comics?",speech balloons
352,What type of comic has taken off in the 21st century?,online webcomics
353,The various sizes as well as how panels are arranged help with what aspect of comics?,narrative pacing
354,What is Saint Helena tropical island named after?,Saint Helena of Constantinople
355,What ocean is Saint Helena located in?,South Atlantic Ocean
356,What is the population of Saint Helena?,"4,255"
357,How big is Saint Helena tropical Island?,16 by 8 kilometres
358,Aspiration and preaspiration are used in what?,phonetics
359,Aspirated consonants are what in English?,allophones
360,What are two language types where the difference is contrastive?,Indian and East Asian
361,What is hydrogens chemical symbol?,H
362,What is the atomic number used for hydrogen?,1
363,What is the atomic weight for hydrogen?,7000100794000000000♠1.00794 u
364,What element is considered the lightest?,Hydrogen
365,What do people typically call a web browser?,browser
366,What platform is a browser used on?,World Wide Web
367,What does URL mean?,Uniform Resource Identifier
368,What allows a person to direct their browser to a resource?,Hyperlinks
369,What is the capital of Massachusetts?,Boston
370,What is the approximate population for 2014?,"655,884"
371,How many square miles does Boston cover?,48 square miles
372,What was the population of Boston in 2014,"655,884"
373,How many square miles is Boston?,48 square miles
374,What place is Boston in for largest city in the US?,24th
375,Which of the United States is Boston located in?,Massachusetts
376,How many square miles is the city proper of Boston?,48
377,The large metropolitan area of Boston is also called what?,Greater Boston
378,What is the estimated population of Greater Boston?,4.7 million people
379,What is the capital and largest city in Massachusetts?,Boston
380,What is the BeiDou Navigation Satellite System?,a Chinese satellite navigation system
381,How many satellite constellations does the BeiDou Navigation Satellite System have?,two separate satellite constellations
382,What are the two satellite constellations?,"a limited test system that has been operating since 2000, and a full-scale global navigation system"
383,How long has the limited test system been operating?,since 2000
384,How is the BeiDou Navigation Satellite System written in traditional Chinese?,北斗衛星導航系統
385,What is the name for the rules issued by the heads of the Church?,Canon law
386,In what type of religion are canon laws applicable?,Christian
387,Which institutions make up the Catholic Church?,Latin Church and Eastern Catholic Churches
388,What body was first responsible for creating canon?,church council
389,What does canon law consist of?,canons
390,How many official radio and television networks does the government of Somalia operate?,two
391,Are communication services in Somalia mainly located in the public or private sector?,private
392,"As internet access increases, news media and online portals replace what form of media?",Print media
393,What year was the national postal service of Somalia relaunched?,2013
394,"In 2012, what act was approved to establish a National Communications regulator?",National Communications Act
395,Are communications services in Somalia mostly concentrated in the public or private sector?,private
396,Communications in Somalia are mostly concentrated in what sector?,private
397,How many official rado iand TV networks does the governemt of Somalia run?,two
398,What type of media decreases and internet connectivity increases?,Print media
399,What types of media increases as internet connectivity and access increases?,radio stations and online portals
400,What year is the postal service in Somalia set to relaunch?,2013
401,What place is Catalan named for?,Catalonia
402,What type of language is Catalan?,Romance language
403,What is Catalan called in Valencia?,Valencian
404,Where is Catalan the only official language?,Andorra
405,What is the official language of Estonia?,Estonian
406,How many people in Estonia speak Estonian?,about 1.1 million
407,How many people in different migrant communities speak Estonian?,tens of thousands
408,What branch of the Uralic language family does Estonian belong to?,Finnic
409,What language family does Estonian belong to?,Uralic
410,What country has Estonian as its official language?,Estonian
411,In Estonia how many people speak Estonian as their native language,1.1 million
412,Of what language family is Estonian a part of?,Uralic
413,On which branch of Uralic language family can Estonian be found?,Finnic
414,How many estimated non native speakers of Estonian are there in Estonia?,tens of thousands
415,What is a source for the particles in paper?,wood
416,What is a common use for paper?,writing
417,What is the last step in paper production?,drying
418,When was the football league established?,1987
419,Where is football played?,indoors
420,What does AFL sand for?,Arena Football League
421,Who founded The AFL?,Jim Foster
422,In what year was the AFL founded?,1987
423,In what decade was AFL sport invented?,1980s
424,Who was the founder of the Arena Football League?,Jim Foster
425,What was the inaugural year of the AFL?,1987
426,Where does the Arena Football League rank amongst professional football leagues in North America by longevity?,third
427,"In yards, how large is an arena football field?",68
428,What fraction of the size of an NFL football field is an arena football field?,half
429,"Along with pop, soul, rhythm and blues, quiet storm, and rock, what musical style influenced adult contemporary?",easy listening
430,What was the prevailing style of adult contemporary music in the 1970s?,soft rock
431,What type of adult contemporary music was popular in the 1960s?,vocal
432,What does the acronym AC stand for?,Adult contemporary
433,"Along with easy listening, adult contemporary is a modern day continuation of what style of music?",soft rock
434,In what century was the term matter defined excluding energy phenomena like light and sound?,20th
435,What term is used for the substance that composes all observable physical objects?,matter
436,The mass of an object can come from the motion of its constituents or what other source?,interaction energies
437,What term is used to describe the type of definition that matter would have if all scientists could agree on its definition?,universal
438,"Prior to the 20th century, the definition of matter included any object that had mass even when it was in what state? ",at rest
439,What was Westminster Abbey's original name?,Collegiate Church of St Peter at Westminster
440,What style architecture is the Westminster Abbey considered?,Gothic
441,In what city is Westminster Abbey located?,"City of Westminster, London"
442,In what years was the Abbey considered a cathedral?,Between 1540 and 1556
443,What type of building is the Abbey now considered?,Royal Peculiar
444,What is the formal name of Westminster Abbey?,the Collegiate Church of St Peter at Westminster
445,Where is Westminster Abbey located?,"City of Westminster, London"
446,When was Westminster Abbey a cathedral?,Between 1540 and 1556
447,What has been the status of Westminster Abbey since 1560?,"Church of England ""Royal Peculiar"""
448,k,ks
449,j,Ch
450,n,n
451,b,b
452,v,v
453,What is the legal capital of the Republic of China?,Nanjing
454,What region is Nanjing in?,lower Yangtze River region
455,When was the city given the name Nanjing?,Ming dynasty
456,When did Nanjing become the Chinese national capital?,Jin dynasty
457,What does Nanjing mean?,"""Southern Capital"""
458,What city is the de facto capital of Switserland? ,Berne
459, What is the second most populous of Switzerland's cantons?,Canton of Bern
460,Which canton is Berne the capital?,Canton of Bern
461,How many municipalities are in the Berne agglomeration?,36 municipalities
462,What is the population of Berne?,"140,634"
463,Where is Bern located? ,Switzerland
464,How many municiplaities are in Bern?,36
465,Bern is the capitol of which canton?,Canton of Bern
466,Where does Bern rank in population in Switzerland?,second
467,What term is used interchangeably with daylight saving time?,summer time
468,What period of time do we set our clocks forward in DST?,one hour
469,What do we get an extra hour of because we set the clocks forward?,daylight
470,In what season do regions who practice DST set the clocks back one hour?,autumn
471,"By setting the clocks forward, the normal time of what daily event is disrupted?",sunrise
472,What does RIBA stand for?,Royal Institute of British Architects
473,What is the goal of RIBA?,the advancement of architecture
474,When was RIBA founded?,1837
475,When was RIBA's founding document expanded?,1971
476,In what country does RIBA mainly operate?,United Kingdom
477,NARA is responsible for what collection of archives?,National Archives
478,What independent agency preserves the original copy of executive orders?,National Archives and Records Administration
479,what type of islands are the Tristan da Cunha,volcanic
480,where are the islands of Tristan da Cunha located?,south Atlantic Ocean
481,how many square kilometres  is the island?,98
482,what type of island group are the islands?,archipelago
483,What is the abbreviation by which the University of Kansas is known?,KU
484,Where is the main branch of the University of Kansas located?,Lawrence
485,What is the tallest point in Lawrence?,Mount Oread
486,Who authorized the opening of the University of Kansas?,the Kansas State Legislature
487,In what year was Kansas made a member of the United States?,1861
488,What do you call  government officials using power for illicit private gain?,political corruption
489,Who benefits from political corruption?,government officials
490,It is only considered political corruption if the act directly relates to what?,their official duties
491,Trading in what is considered political corruption?,influence
492,What is it called when government officials use their power for private gain?,Political corruption
493,What language is the word dialectus from?,Latin
494,From what language does the word diálektos come?,Greek
495,What does diálektos mean in English?,discourse
496,How many different types of linguistic phenomena is the term dialect used to describe?,two
497,How many distinct ways is the term dialect used?,two
498,What term is used to refer to the period from 1750 to 1820?,the Classical period
499,What years are termed the Renaissance period?,1400–1600
500,What years are termed the Baroque period? ,1600–1750
501,From 1804-1910 was called what era?,Romantic
502,Classical music is rooted in what kind of tradition? ,Western music
503,Classical music is rooted the the traditions of what kind of music?,Western
504,What is the period from 1750 to 1820 called?,the Classical period
505,What time period is known at the common practice period?,between 1550 and 1900
506,When was the Renaissance era?,1400–1600
507,When was the modern era?,1890–1930
508,What is the largest Indo-European ethno-linguistic group in Europe?,Slavs are the largest Indo-European ethno-linguistic group in Europe.
509,What areas of the world do Slavs inhabit?,"They inhabit Central Europe, Eastern Europe, Southeast Europe, North Asia and Central Asia."
510,What was colonised by the East Slavs?,The East Slavs colonised Siberia and Central Asia.
511,What portion of Europe's territory is inhabited by Slavic-speaking communities?,Presently over half of Europe's territory is inhabited by Slavic-speaking communities
512,Slavic mercenaries settled where?,Slavic mercenaries fighting for the Byzantines and Arabs settled Asia Minor and even as far as Syria.
513,What's the estimated population of Southampton?,"253,651"
514,What could you call someone who lives in Southampton?,Sotonian
515,In what ceremonial county is Southampton located?,Hampshire
516,How many miles away from London is Southampton?,75
517,In which direction would you travel from Portsmouth to reach Southampton?,north-west
